ID,Name,Code,Category,NumEntries
418,Adnyamathanha,L10,matri-moieties,2
972,Adyinuri,Y17,totems,0
1086,Aghu-Tharnggala,Y65,sections,4
932,Agwamin,Y132,sections,4
932,Agwamin,Y132,sections,4
932,Agwamin,Y132,totems,0
932,Agwamin,Y132,totems,0
932,Agwamin,Y132,patri-moieties,0
121,Akarre,C28,subsections,8
722,Alawa,N92,subsections,8
722,Alawa,N92,patri-semi-moieties,4
722,Alawa,N92,subsections,16
722,Alawa,N92,subsections,8
1050,Alngith,Y32,matri-moieties,2
105,Alyawarr,C14,sections,4
105,Alyawarr,C14,subsections,8
105,Alyawarr,C14,sections,4
105,Alyawarr,C14,sections,4
105,Alyawarr,C14,sections,4
849,Amangu,W12,matri-moieties,2
1091,Angkamuthi,Y7,totems,0
566,Anindilyakwa,N151,patri-moieties,2
146,Anmatyerre,C8,subsections,8
146,Anmatyerre,C8,subsections,8
146,Anmatyerre,C8,subsections,8
146,Anmatyerre,C8,subsections,8
141,Antakirinya,C5,generational moieties,2
141,Antakirinya,C5,generational moieties,2
141,Antakirinya,C5,sections,4
103,Antekerrepenh,C12,sections,4
421,Arabana,L13,matri-moieties,2
421,Arabana,L13,matri-moieties,2
421,Arabana,L13,matri-moieties,2
421,Arabana,L13,matri-moieties,2
421,Arabana,L13,matri-moieties,2
421,Arabana,L13,matri-moieties,2
421,Arabana,L13,matri-moieties,2
421,Arabana,L13,totems,12
421,Arabana,L13,sections,0
904,Areba,Y107,sections,4
904,Areba,Y107,totems,3
1052,Aritinngithigh,Y34,matri-moieties,2
145,Arrernte,C8,generational moieties,2
145,Arrernte,C8,sections,4
145,Arrernte,C8,subsections,8
145,Arrernte,C8,patri-moieties,2
145,Arrernte,C8,subsections,8
145,Arrernte,C8,subsections,8
145,Arrernte,C8,subsections,8
145,Arrernte,C8,subsections,8
145,Arrernte,C8,sections,4
1080,Ayabadhu,Y60,patri-moieties,2
1080,Ayabadhu,Y60,patri-moieties,2
307,Ayerrerenge,G12,sections,4
307,Ayerrerenge,G12,subsections,8
8,Badimaya,A14,sections,4
172,Badjiri,D31,sections,4
172,Badjiri,D31,sections,8
172,Badjiri,D31,matri-moieties,2
847,Balardung,W10,generational moieties,2
847,Balardung,W10,generational moieties,2
1110,Banambila,Y88,sections,0
50,Banyjima,A53,sections,4
192,Barababaraba,D5,underspecified sections,4
254,Barada,E48,sections,8
254,Barada,E48,matri-moieties,2
361,Bardi,K15,sections,4
361,Bardi,K15,sections,4
182,Barunggam,D40,sections,8
182,Barunggam,D40,matri-moieties,2
182,Barunggam,D40,sections,8
846,Bibbulman,W1,patri-moieties,2
846,Bibbulman,W1,patri-moieties,2
846,Bibbulman,W1,patri-semi-moieties,4
779,Bidawal,S49,matri-moieties,2
242,Bidjara (Central QLD),E37,matri-moieties,2
455,Bidjara (South QLD),L43,sections,4
455,Bidjara (South QLD),L43,matri-moieties,2
455,Bidjara (South QLD),L43,matri-moieties,2
455,Bidjara (South QLD),L43,sections,8
455,Bidjara (South QLD),L43,matri-moieties,2
38,Bidungu,A40,sections,4
38,Bidungu,A40,sections,0
175,Bigambul,D34,underspecified sections,4
664,Bilinarra,N36,subsections,16
664,Bilinarra,N36,subsections,16
548,Binbinga,N138,subsections,16
548,Binbinga,N138,subsections,16
548,Binbinga,N138,subsections,8
740,Bindjali,S15,matri-moieties,2
910,Binggu,Y112,patri-moieties,2
604,Bininj Gun-Wok,N186,subsections,16
263,Biri,E56,sections,4
263,Biri,E56,underspecified sections,2
263,Biri,E56,underspecified sections,0
19,Birniridjara,A25,sections,4
235,Birpai,E3,underspecified sections,4
764,Boonwurrung,S35,matri-moieties,2
764,Boonwurrung,S35,patri-moieties,2
764,Boonwurrung,S35,matri-moieties,2
764,Boonwurrung,S35,patri-moieties,2
738,Buandig,S13,matri-moieties,2
738,Buandig,S13,matri-moieties,0
738,Buandig,S13,matri-moieties,4
738,Buandig,S13,matri-moieties,2
738,Buandig,S13,phratries,10
738,Buandig,S13,totems,8
150,Bulali,D11,matri-moieties,2
908,Bulway,Y110,patri-moieties,2
213,Bundjalung,E12,sections,8
400,Bunuba,K5,sections,4
711,Burarra,N82,subsections,16
711,Burarra,N82,subsections,16
711,Burarra,N82,subsections,16
711,Burarra,N82,matri-moieties,2
711,Burarra,N82,patri-moieties,2
236,Butchulla,E30,patri-moieties,2
236,Butchulla,E30,sections,8
236,Butchulla,E30,sections,4
236,Butchulla,E30,matri-moieties,2
236,Butchulla,E30,sections,8
236,Butchulla,E30,underspecified sections,4
236,Butchulla,E30,sections,4
236,Butchulla,E30,sections,4
229,Buyibara,E24,patri-moieties,2
229,Buyibara,E24,matri-moieties,2
229,Buyibara,E24,sections,8
756,Dadi Dadi,S28,matri-moieties,2
