gcode,langname,name_in_source,source,size,,
lara1258,Laragia,NA,https://www.csiro.au/en/research/indigenous-science/indigenous-knowledge/calendars/gulumoerrgin,7,,
ngad1258,Ngadju,NA,https://www.csiro.au/en/research/indigenous-science/Indigenous-knowledge/Calendars/Ngadju,4,,
nang1259,Ngan'gi,NA,https://www.csiro.au/en/research/indigenous-science/Indigenous-knowledge/Calendars/Ngangi,13,, 
mull1237,Malak Malak,NA,https://www.csiro.au/en/research/indigenous-science/Indigenous-knowledge/Calendars/MalakMalak,7,,
tiwi1244,Tiwi,NA,https://www.csiro.au/en/research/indigenous-science/Indigenous-knowledge/Calendars/Tiwi,13,,
gunw1252,Kunwinjku,NA,https://www.csiro.au/en/research/indigenous-science/Indigenous-knowledge/Calendars/Kunwinjku,6,,
goon1238,Gooniyandi,NA,https://www.csiro.au/en/research/indigenous-science/Indigenous-knowledge/Calendars/Gooniyandi,4,,
walm1241,Walmajarri,NA,https://www.csiro.au/en/research/indigenous-science/Indigenous-knowledge/Calendars/Walmajarri,3,,
gunw1252,Kundjeyhmi,Ngurrungurrudjba (Yellow Water),https://www.csiro.au/en/research/indigenous-science/Indigenous-knowledge/Calendars/Ngurrungurrudjba,6,,
nyun1247,Nyoongar,NA,http://www.bom.gov.au/iwk/nyoongar/birak.shtml,6,,
kumb1268,Banbai,NA,http://www.bom.gov.au/iwk/calendars/banbai.shtml,6,,
thur1254,Dharawal,NA,http://www.bom.gov.au/iwk/calendars/dharawal.shtml,6,,
west2443,Djapwurrong,Gariwerd,http://www.bom.gov.au/iwk/calendars/gariwerd.shtml,6,,
djau1244,Jawoyn,NA,http://www.bom.gov.au/iwk/calendars/jawoyn.shtml,6,,
kaur1267,Kaurna,NA,http://www.bom.gov.au/iwk/calendars/kaurna.shtml,4,,
maun1240,Maung,NA,http://www.bom.gov.au/iwk/calendars/maung.shtml,3,,
miri1266,Miriwoong,NA,http://www.bom.gov.au/iwk/calendars/miriwoong.shtml,3,,
kayt1238,Kaytetye,Walabunnba,http://www.bom.gov.au/iwk/calendars/walabunnba.shtml,2,,
ward1246,Wardaman,NA,http://www.bom.gov.au/iwk/calendars/wardaman.shtml,4,,
yany1243,Yanyuwa,NA,http://www.bom.gov.au/iwk/calendars/yanyuwa.shtml,5,,
yawu1244,Yawuru,NA,http://www.bom.gov.au/iwk/calendars/yawuru.shtml,6,,
dyaa1242,Djabugay,Yirrganydji,http://www.bom.gov.au/iwk/calendars/yirrganydji.shtml,5,,
nuer1246,Nuer,NA,"Evans-Pritchard, E. E. (1939). Nuer time-reckoning. Africa, 12(2), 189-216.",4,,
fare1241,Farefari,Gurenɛ,"Atintono, S. A. (2015). The semantics and metaphorical extensions of temperature terms in Gurenɛ, in The Linguistics of Temperature, ed Koptjevskaja-Tamm.",4,,
east2534,Eastern Canadian Inuktitut,Inuit,"Stewart, D. B. (1995). Local knowledge of beluga and narwhal from four communities in Arctic Canada. Fisheries and Oceans.",6,,
meri1244,Meriam,NA,"Johnson, D. (2014). Night skies of Aboriginal Australia: a noctuary. Sydney University Press",4,,
kala1377,Kala Lagaw Ya,Muralag Island,"Johnson, D. (2014). Night skies of Aboriginal Australia: a noctuary. Sydney University Press",4,,
narr1259,Narrinyeri,Yaraldi,"Johnson, D. (2014).Night skies of Aboriginal Australia: a noctuary. Sydney University Press",4,,
dyab1238,Dyaberdyaber,Goolarabooloo,http://www.goolarabooloo.org.au/six_seasons.html,6,,
kiow1266,Kiowa,NA,"Cope, L. (1919). Calendars of the Indians north of Mexico(Vol. 16). University of California Press.",4,,
