language_ID,glottocode,glottolog_name,size,class
p_abuiabui1241,abui1241,Abui,4,siblings
p_achineseachi1257,achi1257,Acehnese,4,siblings
p_adangadan1251,adan1251,Adang,3,siblings
p_agob-ende-kawamagob1244,agob1244,Agob-Ende-Kawam,2,siblings
p_aklanonakla1241,akla1241,Kailibo Aklanon,3,siblings
p_alamblakalam1246,alam1246,Alamblak,6,siblings
p_alanganalan1249,alan1249,Alangan,2,siblings
p_amanabaman1265,aman1265,Amanab,4,siblings
p_ampibabolaujeampi1237,ampi1237,Ampibabo,2,siblings
p_anejomanei1239,anei1239,Aneityum,4,siblings
p_aniwaaniw1237,aniw1237,Aniwa,5,siblings
p_anutaanut1237,anut1237,Anuta,2,siblings
p_arabanaarab1267a,arab1267,Arabana,3,siblings
p_arakiarak1252,arak1252,Araki,4,siblings
p_arearearea1240,area1240,'Are'are,2,siblings
p_ariamoukariamouk1240a,mouk1240,Mouk,3,siblings
p_arosiaros1241,aros1241,Arosi,3,siblings
p_aseraaser1237,aser1237,Asera,2,siblings
p_asfauslanaust1271,aust1271,Auslan,3,siblings
p_atchinatch1238,atch1238,Atchin,2,siblings
p_atoniuabmetouabm1237,uabm1237,Uab Meto,4,siblings
p_attaatta1244,atta1244,Atta,3,siblings
p_auauuu1241,auuu1241,Au,3,siblings
p_avatimeavat1244,avat1244,Avatime,4,siblings
p_avavabangasadialectkatb1237,katb1237,Avava,7,siblings
p_avavakatb1237a,katb1237,Avava,3,siblings
p_avavaniviardialectkatb1237b,katb1237,Avava,4,siblings
p_ayiwoayiw1239,ayiw1239,Äiwoo,4,siblings
p_bacanesemalaybacanbaca1243,baca1243,Bacanese Malay,4,siblings
p_bahonsuaibaho1237,baho1237,Bahonsuai,2,siblings
p_balaesangbala1314,bala1314,Balaesang,2,siblings
p_balangaobala1310,bala1310,Balangao,3,siblings
p_balinesebali1278,bali1278,Balinese,3,siblings
p_banjarbanj1239,banj1239,Banjar,2,siblings
p_bannonibann1247,bann1247,Bannoni,1,siblings
p_barabethanohano1246a,hano1246,Hano,2,siblings
p_bardibard1254,bard1254,Bardic,3,siblings
p_bariokelabitbari1288,bari1288,Bario,1,siblings
p_barokkarubaro1253,baro1253,Barok,2,siblings
p_baruyabaru1267,baru1267,Baruya,3,siblings
p_bataktobabata1289,bata1289,Batak Toba,3,siblings
p_berikberi1254,beri1254,Berik,2,siblings
p_biakbiak1248,biak1248,Biak,4,siblings
p_bierebobier1244,bier1244,Bierebo,3,siblings
p_bignambasbign1238,bign1238,Big Nambas,4,siblings
p_bignambasbign1238a,bign1238,Big Nambas,4,siblings
p_bilibilbilb1241,bilb1241,Bilibil,4,siblings
p_biluabilu1245,bilu1245,Bilua,2,siblings
p_bininjkunwokgunw1252,gunw1252,Bininj Kun-Wok,5,siblings
p_binukidtalaandigbinukidbinu1244,binu1244,Talaandig-Binukid,8,siblings
p_blagarblag1240,blag1240,Blagar,2,siblings
p_boanosulawesiboan1243,boan1243,Boano (Sulawesi),2,siblings
p_bontokbont1247,bont1247,Bontok,3,siblings
p_boungboun1245,boun1245,Bo-Ung,2,siblings
p_brookespointpalawanobroo1239,broo1239,Brooke's Point Palawano,2,siblings
p_bruneisabahmalaymalaysaba1263,saba1263,Sabah Malay,4,siblings
p_buhidbuhi1245,buhi1245,Buhid,2,siblings
p_buinbuin1247,buin1247,Buinic,4,siblings
p_bukatbuka1261,buka1261,Bukat,1,siblings
