glottocode,glottolog_langname,langfamily,area
azer1255,Central Oghuz,Turkic,Eurasia
east2737,Eastern Otomi,Otomanguean,North America
fars1254,Farsic-Caucasian Tat,Indo-European,Eurasia
gree1276,Greek,Indo-European,Eurasia
guah1254,Guahibo-Playero,Guahiboan,South America
juku1256,Ju-Kung,Kxa,Africa
kala1405,Kalanga-Nambya,Atlantic-Congo,Africa
kxoe1242,Kxoe-Ani,Khoe-Kwadi,Africa
mala1537,Malagasic,Austronesian,Africa
meph1234,Mephaa,Otomanguean,North America
nucl1806,Nuclear Malayic,Austronesian,Papunesia
sorb1249,Sorbian,Indo-European,Eurasia
sout2975,Southern Tepehuan,Uto-Aztecan,North America
sout3400,Southeastern Alta Mixtec,Otomanguean,North America
swah1254,Swahili,Atlantic-Congo,Africa
ndon1253,Ndonga,Atlantic-Congo,Africa
ecua1249,Ecuadorian Quechua B,Quechuan,South America
sout2765,Southern Maric,Pama-Nyungan,Australia
atta1244,Atta,Austronesian,Papunesia
bard1254,Bardic,Nyulnyulan,Australia
buin1247,Buinic,South Bougainville,Papunesia
dhuw1248,Dhuwal-Dhuwala,Pama-Nyungan,Australia
inan1242,Inanwatan,428,Papunesia
jing1260,Jingpho,Sino-Tibetan,Eurasia
kaya1318,Kayardild-Yangkaal,Tangkic,Australia
kunj1248,Southwestern Alaya-Athima,Pama-Nyungan,Australia
limi1242,Limilngan-Wulna,294,Australia
mada1284,Madak linkage,Austronesian,Papunesia
marq1246,Marquesan,Austronesian,Papunesia
burm1266,Burmish,Sino-Tibetan,Eurasia
sini1245,Sinitic,Sino-Tibetan,Eurasia
hare1243,Slaveyic,Athabaskan-Eyak-Tlingit,North America
japa1256,Japanesic,Japonic,Eurasia
kare1337,Karenic,Sino-Tibetan,Eurasia
pwoo1239,Pwo,Sino-Tibetan,Eurasia
ojib1241,Ojibwa,Algic,North America
winn1245,Winnebago-Chiwere,Siouan,North America
ocea1241,Oceanic,Austronesian,Papunesia
soge1235,Sogeram,Nuclear Trans New Guinea,Papunesia
watu1246,Watut,Austronesian,Papunesia
yali1257,Yalic,Nuclear Trans New Guinea,Papunesia
biha1245,Bihari,Indo-European,Eurasia
fris1239,Frisian,Indo-European,Eurasia
gond1265,Gondi,Dravidian,Eurasia
lahn1241,Greater Panjabic,Indo-European,Eurasia
osse1245,Ossetic,Indo-European,Eurasia
pash1269,Pashto,Indo-European,Eurasia
tupi1276,Tupi-Guarani,Tupian,South America
sard1257,Sardinian,Indo-European,Eurasia
ifug1247,Ifugaw,Austronesian,Papunesia
balo1260,Balochic,Indo-European,Eurasia
saha1240,Sahaptin,Sahaptian,North America
kere1287,Keresan,119,North America
maza1295,Mazatecan,Otomanguean,North America
azte1234,Aztec,Uto-Aztecan,North America
nuau1240,Patakai,Austronesian,Papunesia
sisa1248,Sisaala,Atlantic-Congo,Africa
song1307,Songhay,91,Africa
tara1321,Tarahumaran,Uto-Aztecan,North America
cora1260,Coran,Uto-Aztecan,North America
kaya1333,Kayanic,Austronesian,Eurasia
west2811,Western Subanen,Austronesian,Papunesia
tepe1243,Tepehua,Totonacan,North America
tewa1261,Tewa,Kiowa-Tanoan,North America
yuul1239,Yuulngu,Pama-Nyungan,Australia
tair1260,Tairora,Nuclear Trans New Guinea,Papunesia
zand1246,Zandic,Atlantic-Congo,Africa
eski1265,Eskimo,Eskimo-Aleut,North America
wich1261,Wichi,Mataguayan,South America
