class,size,count
siblings,1,42
siblings,2,161
siblings,3,120
siblings,4,176
siblings,5,24
siblings,6,15
siblings,8,11
parent_siblings,2,100
parent_siblings,3,55
parent_siblings,4,275
parent_siblings,5,40
parent_siblings,6,68
parent_siblings,7,10
parent_siblings,8,9
grandparents,1,100
grandparents,2,343
grandparents,3,30
grandparents,4,85
grandparents,5,1
grandparents,6,1
grandchildren,1,310
grandchildren,2,143
grandchildren,3,14
grandchildren,4,65
grandchildren,5,1
grandchildren,8,2
nieces_nephews,1,56
nieces_nephews,2,162
nieces_nephews,3,180
nieces_nephews,4,124
nieces_nephews,5,5
nieces_nephews,6,3
cousins,1,86
cousins,2,47
cousins,3,72
cousins,4,100
cousins,5,65
cousins,6,14
cousins,7,15
cousins,8,77
cousins,9,26
cousins,10,13
cousins,11,5
cousins,12,1
cousins,14,4
