Language,Type,Relation,Region,word_string,word_string_type,count,dlevel,cell_count,language_glottolog,id,name,latitude,longitude,family_id,family_name,is_distance_symmetric,is_relation_symmetric
Abau,D1,Goal,oceania,erey|o|so,2,4,2,6,Abau,abau1245,Abau,-3.97222,141.324,sepi1257,Sepik,TRUE,FALSE
Abau,D1,Place,oceania,erey|o,1,4,2,6,Abau,abau1245,Abau,-3.97222,141.324,sepi1257,Sepik,TRUE,FALSE
Abau,D1,Source,oceania,erey|o|so,2,4,2,6,Abau,abau1245,Abau,-3.97222,141.324,sepi1257,Sepik,TRUE,FALSE
Abau,D2,Goal,oceania,serey|so,4,4,2,6,Abau,abau1245,Abau,-3.97222,141.324,sepi1257,Sepik,TRUE,FALSE
Abau,D2,Place,oceania,serey,3,4,2,6,Abau,abau1245,Abau,-3.97222,141.324,sepi1257,Sepik,TRUE,FALSE
Abau,D2,Source,oceania,serey|so,4,4,2,6,Abau,abau1245,Abau,-3.97222,141.324,sepi1257,Sepik,TRUE,FALSE
Adyghe,D1,Goal,europe,mədă,2,3,3,9,Adyghe,adyg1241,Adyghe,44,39.33,abkh1242,Abkhaz-Adyge,TRUE,TRUE
Adyghe,D1,Place,europe,mədă,2,3,3,9,Adyghe,adyg1241,Adyghe,44,39.33,abkh1242,Abkhaz-Adyge,TRUE,TRUE
Adyghe,D1,Source,europe,mədă,2,3,3,9,Adyghe,adyg1241,Adyghe,44,39.33,abkh1242,Abkhaz-Adyge,TRUE,TRUE
Adyghe,D2,Goal,europe,modă,3,3,3,9,Adyghe,adyg1241,Adyghe,44,39.33,abkh1242,Abkhaz-Adyge,TRUE,TRUE
Adyghe,D2,Place,europe,modă,3,3,3,9,Adyghe,adyg1241,Adyghe,44,39.33,abkh1242,Abkhaz-Adyge,TRUE,TRUE
Adyghe,D2,Source,europe,modă,3,3,3,9,Adyghe,adyg1241,Adyghe,44,39.33,abkh1242,Abkhaz-Adyge,TRUE,TRUE
Adyghe,D3,Goal,europe,ādă,1,3,3,9,Adyghe,adyg1241,Adyghe,44,39.33,abkh1242,Abkhaz-Adyge,TRUE,TRUE
Adyghe,D3,Place,europe,ādă,1,3,3,9,Adyghe,adyg1241,Adyghe,44,39.33,abkh1242,Abkhaz-Adyge,TRUE,TRUE
Adyghe,D3,Source,europe,ādă,1,3,3,9,Adyghe,adyg1241,Adyghe,44,39.33,abkh1242,Abkhaz-Adyge,TRUE,TRUE
Afar,D1,Goal,africa,‘akkel,2,4,2,6,Afar,afar1241,Afar,12.2281,41.8083,afro1255,Afro-Asiatic,TRUE,FALSE
Afar,D1,Place,africa,‘akkel,2,4,2,6,Afar,afar1241,Afar,12.2281,41.8083,afro1255,Afro-Asiatic,TRUE,FALSE
Afar,D1,Source,africa,‘akkek,1,4,2,6,Afar,afar1241,Afar,12.2281,41.8083,afro1255,Afro-Asiatic,TRUE,FALSE
Afar,D2,Goal,africa,‘wokkel,4,4,2,6,Afar,afar1241,Afar,12.2281,41.8083,afro1255,Afro-Asiatic,TRUE,FALSE
Afar,D2,Place,africa,‘wokkel,4,4,2,6,Afar,afar1241,Afar,12.2281,41.8083,afro1255,Afro-Asiatic,TRUE,FALSE
Afar,D2,Source,africa,‘wokkek,3,4,2,6,Afar,afar1241,Afar,12.2281,41.8083,afro1255,Afro-Asiatic,TRUE,FALSE
Ainu,D1,Goal,asia,te un,5,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Ainu,D1,Place,asia,te ta,4,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Ainu,D1,Source,asia,te wa,6,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Ainu,D2,Goal,asia,taaní un,2,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Ainu,D2,Place,asia,taan ta,1,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Ainu,D2,Source,asia,taaní wa,3,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Ainu,D3,Goal,asia,toaní un,7,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Ainu,D3,Place,asia,tooan ta,9,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Ainu,D3,Source,asia,toaní wa,8,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Ainu,D4,Goal,asia,tooní un,11,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Ainu,D4,Place,asia,toon ta,10,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Ainu,D4,Source,asia,tooní wa,12,12,4,12,Hokkaido Ainu,ainu1240,Hokkaido Ainu,43.633654,142.46167,ainu1252,Ainu,TRUE,TRUE
Albanian,D1,Goal,europe,këtu,2,4,2,6,Northern Tosk Albanian,tosk1239,Northern Tosk Albanian,41,20,indo1319,Indo-European,TRUE,FALSE
Albanian,D1,Place,europe,këtu,2,4,2,6,Northern Tosk Albanian,tosk1239,Northern Tosk Albanian,41,20,indo1319,Indo-European,TRUE,FALSE
Albanian,D1,Source,europe,nga këtu|prej këtu,4,4,2,6,Northern Tosk Albanian,tosk1239,Northern Tosk Albanian,41,20,indo1319,Indo-European,TRUE,FALSE
Albanian,D2,Goal,europe,atje,1,4,2,6,Northern Tosk Albanian,tosk1239,Northern Tosk Albanian,41,20,indo1319,Indo-European,TRUE,FALSE
Albanian,D2,Place,europe,atje,1,4,2,6,Northern Tosk Albanian,tosk1239,Northern Tosk Albanian,41,20,indo1319,Indo-European,TRUE,FALSE
Albanian,D2,Source,europe,nga atje|prej atje,3,4,2,6,Northern Tosk Albanian,tosk1239,Northern Tosk Albanian,41,20,indo1319,Indo-European,TRUE,FALSE
Amharic,D1,Goal,africa,bästäzzih|wädih|wädäzzih|əzzih,1,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Amharic,D1,Place,africa,əzzih,3,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Amharic,D1,Source,africa,käzzih,5,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Amharic,D2,Goal,africa,bästäzziya|wädiya|wädäzziya|əzziya,2,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Amharic,D2,Place,africa,əzziya,4,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Amharic,D2,Source,africa,käzziya,6,6,2,6,Amharic,amha1245,Amharic,11.708182,39.543456,afro1255,Afro-Asiatic,TRUE,TRUE
Angolar,D1,Goal,africa,nge,2,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
Angolar,D1,Place,africa,ai|inge|ingee|nge|ngee,1,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
Angolar,D1,Source,africa,nge,2,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
Angolar,D2,Goal,africa,nha,3,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
Angolar,D2,Place,africa,nha,3,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
Angolar,D2,Source,africa,nha,3,3,2,6,Angolar,ango1258,Angolar,0.11438,6.59486,indo1319,Indo-European,FALSE,FALSE
"Apache, San Carlos",D1,Goal,americas,dząąyú,6,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D1,Place,americas,dząą|dząągee|kū,4,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D1,Source,americas,dząądí’|kūdí’,5,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D2,Goal,americas,ayú,3,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D2,Place,americas,a|agee|ákū,1,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D2,Source,americas,adí’,2,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D3,Goal,americas,lááyú,7,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D3,Place,americas,láh|láhgee|lááyú|lāā|nláh|nlāā,8,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
"Apache, San Carlos",D3,Source,americas,láhdí’,9,9,3,9,Western Apache,west2615,Western Apache,33.8574,-110.123,atha1245,Athabaskan-Eyak-Tlingit,TRUE,TRUE
Apatani,D1,Goal,asia,so,3,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
Apatani,D1,Place,asia,so,3,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
Apatani,D1,Source,asia,sokii,4,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
Apatani,D2,Goal,asia,ho,1,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
Apatani,D2,Place,asia,ho,1,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
Apatani,D2,Source,asia,hokii,2,4,2,6,Apatani,apat1240,Apatani,27.1933,93.7284,sino1245,Sino-Tibetan,TRUE,FALSE
"Arabic, Modern Standard",D1,Goal,asia,ʼilaa hunaa,7,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D1,Place,asia,hunaa,1,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D1,Source,asia,min hunaa,4,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D2,Goal,asia,ʼilaa hunaaka,8,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D2,Place,asia,hunaaka,2,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D2,Source,asia,min hunaaka,5,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D3,Goal,asia,ʼilaa hunaalika,9,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D3,Place,asia,hunaalika,3,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arabic, Modern Standard",D3,Source,asia,min hunaalika,6,9,3,9,Standard Arabic,stan1318,Standard Arabic,27.9625,43.8525,afro1255,Afro-Asiatic,TRUE,TRUE
"Arrernte, Eastern",D1,Goal,oceania,nhenhewerne,6,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D1,Place,oceania,nhenhe|nhenhele,4,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D1,Source,oceania,nhenhengentyele,5,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D2,Goal,oceania,yanhearteke,8,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D2,Place,oceania,yanhe|yanhele,7,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D2,Source,oceania,yanhengentyele,9,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
"Arrernte, Eastern",D3,Goal,oceania,nhakwewerne,3,9,3,9,"Arrernte, Eastern",east2379,Eastern Arrernte,-23.3583,135.046,pama1250,Pama-Nyungan,TRUE,TRUE
