"language","language_glottolog","id","name","latitude","longitude","family_id","family_name"
"Arapaho ","Arapaho","arap1274","Arapaho",43.3879,-108.81,"algi1248","Algic"
"Wardaman ","Wardaman","ward1246","Wardaman",-15.4155,132.604,"yang1287","Yangmanic"
"Mapudungun ","Mapudungun","mapu1245","Mapudungun",-38.7392,-71.277,"arau1255","Araucanian"
"Hausa ","Hausa","haus1257","Hausa",11.1513,8.7804,"afro1255","Afro-Asiatic"
"Ngan'gityemerri ","Nangikurrunggurr","nang1259","Nangikurrunggurr",-14.268,131.237,"sout2772","Southern Daly"
"Tuvinian ","Tuvinian","tuvi1240","Tuvinian",51.7,94.36667,"turk1311","Turkic"
"Macedonian ","Macedonian","mace1250","Macedonian",41.5957,21.7932,"indo1319","Indo-European"
"German ","German","stan1295","German",48.649,12.4676,"indo1319","Indo-European"
"Finnish ","Finnish","finn1318","Finnish",64.7628,25.5577,"ural1272","Uralic"
"Catalan","Catalan","stan1289","Catalan",41.453,1.569,"indo1319","Indo-European"
"Kodiak Alutiiq ","Pacific Gulf Yupik","paci1278","Pacific Gulf Yupik",60.4238,-148.043,"eski1264","Eskimo-Aleut"
"Khoekhoe, Nama ","Nama (Namibia)","nama1264","Nama (Namibia)",-25.0747,17.9767,"khoe1240","Khoe-Kwadi"
"Bardi ","Bardi","bard1255","Bardi",-16.6274,122.906,"nyul1248","Nyulnyulan"
"Quechua, Yauyos ","Huangascar-Topara-Yauyos Quechua","yauy1235","Huangascar-Topara-Yauyos Quechua",-13.1144,-75.7659,"quec1387","Quechuan"
"Trio ","Tri�","trio1238","Trió",2.53616,-55.7599,"cari1283","Cariban"
"Djapu ","Djapu","djap1238","Djapu",-12.879764,136.417978,"pama1250","Pama-Nyungan"
"Hualapai ","Havasupai-Walapai-Yavapai","hava1248","Havasupai-Walapai-Yavapai",35.6302,-113.385,"coch1271","Cochimi-Yuman"
"Maori ","Maori","maor1246","Maori",-38.2881,176.541,"aust1307","Austronesian"
"Garifuna ","Garifuna","gari1256","Garifuna",15.3529,-86.9091,"araw1281","Arawakan"
"Yuracaré ","Yuracaré","yura1255","Yuracaré",-16.7479,-65.1224,"","isolate"
"Basque","Basque","basq1248","Basque",43.2787,-1.31622,"","isolate"
"Old Church Slavonic ","Church Slavic","chur1257","Church Slavic",43.7171,22.8442,"indo1319","Indo-European"
"Apache, San Carlos ","Western Apache","west2615","Western Apache",33.8574,-110.123,"atha1245","Athabaskan-Eyak-Tlingit"
"Khasi ","Khasi","khas1269","Khasi",24.977,91.9998,"aust1305","Austroasiatic"
"Yidiɲ ","Yidi�","yidi1250","Yidiñ",-17.1332,145.876,"pama1250","Pama-Nyungan"
"Korean ","Korean","kore1280","Korean",37.54,126.98,"kore1284","Koreanic"
"Atong ","Atong","aton1242","Atong",6.03539,9.72121,"atla1278","Atlantic-Congo"
"Yawuru ","Yawuru","yawu1244","Yawuru",-18.004,122.693,"nyul1248","Nyulnyulan"
"Burushaski, Yasin ","Burushaski","buru1296","Burushaski",36.2161,74.8236,"","isolate"
"Arabic, Modern Standard ","Standard Arabic","stan1318","Standard Arabic",27.9625,43.8525,"afro1255","Afro-Asiatic"
"Mualang ","Mualang","mual1241","Mualang",0.31083,111.077,"aust1307","Austronesian"
"Tamasheq, Tadraq ","Tamasheq","tama1365","Tamasheq",14.2038,-2.41269,"afro1255","Afro-Asiatic"
"Bantawa ","Bantawa","bant1281","Bantawa",27.12147,87.04738,"sino1245","Sino-Tibetan"
"Yukaghir, Kolyma ","Southern Yukaghir","sout2750","Southern Yukaghir",64.218,154.375,"yuka1259","Yukaghir"
"Ainu ","Hokkaido Ainu","ainu1240","Hokkaido Ainu",43.633654,142.46167,"ainu1252","Ainu"
"Yoruba ","Yoruba","yoru1245","Yoruba",7.15345,3.67225,"atla1278","Atlantic-Congo"
"Fijian ","Fijian","fiji1243","Fijian",-18,178.33,"aust1307","Austronesian"
"Turkish ","Turkish","nucl1301","Turkish",39.8667,32.8667,"turk1311","Turkic"
"Klamath ","Klamath","klam1254","Klamath-Modoc",42.5861,-121.704,"","isolate"
"Inuktitut, Western Canadian ","Western Canadian Inuktitut","west2618","Western Canadian Inuktitut",64.3486,-96.148,"eski1264","Eskimo-Aleut"
"Mundari ","Mundari","mund1320","Mundari",23.03,85.85,"aust1305","Austroasiatic"
"Ngizim ","Ngizim","ngiz1242","Ngizim",12.1051,11.0178,"afro1255","Afro-Asiatic"
"Lakota ","Lakota","lako1247","Lakota",46.3699,-103.95,"siou1252","Siouan"
"Arrernte, Eastern ","Arrernte, Eastern","east2379","Eastern Arrernte",-23.3583,135.046,"pama1250","Pama-Nyungan"
"Yindjibarndi  ","Yindjibarndi","yind1247","Yindjibarndi",-21.5379,117.001,"pama1250","Pama-Nyungan"
"Yuwaalaraay ","Yuwaalaraay","yuwa1242","Yuwaalaraay",-29.758184,147.923684,"pama1250","Pama-Nyungan"
"Yugh ","Yugh","yugh1239","Yugh",60.8778,89.7479,"yeni1252","Yeniseian"
"Jingulu ","Jingulu","djin1251","Jingulu",-17.165,133.659,"mirn1241","Mirndi"
"Komnzo ","Anta-Komnzo-W�ra-W�r�-K�m�","wara1294","Anta-Komnzo-Wára-Wérè-Kémä",-8.64917,141.52,"more1255","Yam"
"Maybrat ","Maybrat-Karon","maib1239","Maybrat-Karon",-1.3679,132.591,"","isolate"
"Bengali ","Bengali","beng1280","Bengali",24,90,"indo1319","Indo-European"
"Comanche ","Comanche","coma1245","Comanche",34,-101,"utoa1244","Uto-Aztecan"
"Limbu ","Limbu","limb1266","Limbu",27.2703,87.8859,"sino1245","Sino-Tibetan"
"Tohono O'Odham  ","Tohono O'odham","toho1245","Tohono O'odham",31.7973,-111.995,"utoa1244","Uto-Aztecan"
"Abui ","Abui","abui1241","Abui",-8.31058,124.588,"timo1261","Timor-Alor-Pantar"
"Orokaiva ","Orokaiva","orok1269","Orokaiva",-8.79019,148.09,"nucl1709","Nuclear Trans New Guinea"
"Motuna ","Siwai","siwa1245","Siwai",-6.6429,155.452,"sout2948","South Bougainville"
"Totonac, Upper Necaxa ","Upper Necaxa Totonac","uppe1275","Upper Necaxa Totonac",20.236,-97.81,"toto1251","Totonacan"
"Yaqui ","Yaqui","yaqu1251","Yaqui",29.9446,-110.681,"utoa1244","Uto-Aztecan"
"Bora ","Bora","bora1263","Bora",-2.000259,-72.257066,"bora1262","Boran"
"Musqueam ","Halkomelem","halk1245","Halkomelem",49.250402,-122.443668,"sali1255","Salishan"
"Santali ","Santali","sant1410","Santali",25.0317,87.8185,"aust1305","Austroasiatic"
"Irish ","Irish","iris1253","Irish",53.2186,-7.61509,"indo1319","Indo-European"
"Shipibo-Konibo ","Shipibo-Conibo","ship1254","Shipibo-Conibo",-7.17105,-74.8219,"pano1259","Pano-Tacanan"
"Mutsun ","Mutsun","muts1243","Mutsun",36.84721,-121.44911,"miwo1274","Miwok-Costanoan"
"Lango ","Lango (Uganda)","lang1324","Lango (Uganda)",2.13867,33.0553,"nilo1247","Nilotic"
"Baba Malay ","Baba Malay","baba1267","Baba Malay",1.75414,103.076,"aust1307","Austronesian"
"Thai ","Thai","thai1261","Thai",14.192,100.671,"taik1256","Tai-Kadai"
"Scots-Gaelic ","Scottish Gaelic","scot1245","Scottish Gaelic",56.7574,-5.24366,"indo1319","Indo-European"
"Dhimal ","Dhimal","dhim1246","Dhimal",26.6283,88.3798,"sino1245","Sino-Tibetan"
"Popoluca, Highland ","Highland Popoluca","high1276","Highland Popoluca",18.198,-94.9109,"mixe1284","Mixe-Zoque"
"Lenca, Honduran ","Lenca-Honduras","lenc1242","Lenca-Honduras",13.667338,-87.49878,"lenc1239","Lencan"
"Swahili ","Swahili","swah1253","Swahili",-8.25605,37.624,"atla1278","Atlantic-Congo"
"Wa ","South Wa","para1301","South Wa",22.8658,99.375,"aust1305","Austroasiatic"
"Kuna, Border ","Border Kuna","bord1248","Border Kuna",7.92993,-77.1664,"chib1249","Chibchan"
"French ","French","stan1290","French",48,2,"indo1319","Indo-European"
"Kikuyu ","Kikuyu","kiku1240","Kikuyu",-0.29005,36.719,"atla1278","Atlantic-Congo"
"Garrwa, Western ","Garrwa","gara1269","Garrwa",-17.4504,137.72014,"garr1260","Garrwan"
"Slovenian ","Slovenian","slov1268","Slovenian",46.2543,14.7766,"indo1319","Indo-European"
"Menya ","Menya","meny1245","Menya",-7.17425,146.071,"anga1289","Angan"
"Romani, Moldovan ","Balkan Romani","balk1252","Balkan Romani",42.67,21.17,"indo1319","Indo-European"
"Estonian ","Estonian","esto1258","Estonian",58.55,25.82,"ural1272","Uralic"
"Wambaya ","Wambaya-Gudanji","guda1242","Wambaya-Gudanji",-17.42,134.73,"mirn1241","Mirndi"
"Ukrainian ","Ukrainian","ukra1253","Ukrainian",49.796,29.945,"indo1319","Indo-European"
"Russian ","Russian","russ1263","Russian",59,50,"indo1319","Indo-European"
"Belarusian","Belarusian","bela1254","Belarusian",53.2307,25.6038,"indo1319","Indo-European"
"Sorbian,Upper ","Upper Sorbian","uppe1395","Upper Sorbian",51.2403,14.4098,"indo1319","Indo-European"
"Norwegian ","Norwegian","norw1258","Norwegian",59.92,10.71,"indo1319","Indo-European"
"Cree ","Moose Cree","moos1236","Moose Cree",51.0686,-80.6912,"algi1248","Algic"
"Nii ","Nii","niii1240","Nii",-5.763,144.518,"nucl1709","Nuclear Trans New Guinea"
"Zay ","Zay","zayy1238","Zay",8.01148,38.8258,"afro1255","Afro-Asiatic"
"Vietnamese ","Vietnamese","viet1252","Vietnamese",20.681188,105.774071,"aust1305","Austroasiatic"
"Hamar ","Hamer-Banna","hame1242","Hamer-Banna",5.06515,36.5176,"sout2845","South Omotic"
"Hindi ","Hindi","hind1269","Hindi",25,77,"indo1319","Indo-European"
"Swedish ","Swedish","swed1254","Swedish",59.800634,17.389526,"indo1319","Indo-European"
"Bulgarian","Bulgarian","bulg1262","Bulgarian",43.3646,25.047,"indo1319","Indo-European"
"Slavomolisano ","Slavomolisano","slav1254","Slavomolisano",41.89,14.7,"indo1319","Indo-European"
"Evenki ","Evenki","even1259","Evenki",61.972,94.689,"tung1282","Tungusic"
"Icelandic ","Icelandic","icel1247","Icelandic",63.4837,-19.0212,"indo1319","Indo-European"
