Language,Type,Modality,Relation,Word,Region
"Gidar (Afro-Asiatic, Chadic)",SI,SI,Place,aŋga,africa
"Gidar (Afro-Asiatic, Chadic)",SI,SI,Place,ŋga,africa
"Gidar (Afro-Asiatic, Chadic)",SI,SI,Source,səŋga,africa
"Gidar (Afro-Asiatic, Chadic)",SI,SI,Goal,aŋga,africa
"Gidar (Afro-Asiatic, Chadic)",D1,place,Place,aŋka,africa
"Gidar (Afro-Asiatic, Chadic)",D1,place,Source,saŋka,africa
"Gidar (Afro-Asiatic, Chadic)",D1,place,Source,səŋka,africa
"Gidar (Afro-Asiatic, Chadic)",D1,place,Goal,aŋka,africa
"Gidar (Afro-Asiatic, Chadic)",D2,place,Place,ada,africa
"Gidar (Afro-Asiatic, Chadic)",D2,place,Place,adaka,africa
"Gidar (Afro-Asiatic, Chadic)",D2,place,Source,sədaka,africa
"Gidar (Afro-Asiatic, Chadic)",D2,place,Goal,ada,africa
"Gidar (Afro-Asiatic, Chadic)",D2,place,Goal,adaka,africa
Penange (Dogon),SI,SI,Place,mbá,africa
Penange (Dogon),SI,SI,Source,mbá,africa
Penange (Dogon),SI,SI,Goal,mbá,africa
Penange (Dogon),D1,place,Place,nùwn,africa
Penange (Dogon),D1,place,Source,nùwn,africa
Penange (Dogon),D1,place,Goal,nùwn,africa
Penange (Dogon),D2,place,Place,èmbà,africa
Penange (Dogon),D2,place,Source,èmbà,africa
Penange (Dogon),D2,place,Goal,èmbà,africa
Dime (South Omotic),SI,SI,Place,Ɂamó,africa
Dime (South Omotic),SI,SI,Source,Ɂamóde,africa
Dime (South Omotic),SI,SI,Goal,Ɂamó,africa
Dime (South Omotic),D1,place,Place,sikiyó,africa
Dime (South Omotic),D1,place,Source,sikiyóde,africa
Dime (South Omotic),D1,place,Goal,sikiyó,africa
Dime (South Omotic),D2,place,Place,sakiyó,africa
Dime (South Omotic),D2,place,Place,kiyó,africa
Dime (South Omotic),D2,place,Source,sakiyóde,africa
Dime (South Omotic),D2,place,Source,kiyóde,africa
Dime (South Omotic),D2,place,Goal,sakiyó,africa
Dime (South Omotic),D2,place,Goal,kiyó,africa
"Hausa (Afro-Asiatic, Chadic)",SI,SI,Place,ìnaa,africa
"Hausa (Afro-Asiatic, Chadic)",SI,SI,Source,dàgà ìnaa,africa
"Hausa (Afro-Asiatic, Chadic)",SI,SI,Goal,ìnaa,africa
"Hausa (Afro-Asiatic, Chadic)",SI,SI,Goal,ìnaa zuwàa,africa
"Hausa (Afro-Asiatic, Chadic)",D1,place,Place,nân,africa
"Hausa (Afro-Asiatic, Chadic)",D1,place,Source,dàgà nân,africa
"Hausa (Afro-Asiatic, Chadic)",D1,place,Goal,nân,africa
"Hausa (Afro-Asiatic, Chadic)",D1,place,Goal,zuwàa nân,africa
"Hausa (Afro-Asiatic, Chadic)",D2,place,Source,dàgà nan,africa
"Hausa (Afro-Asiatic, Chadic)",D2,place,Goal,nan,africa
"Hausa (Afro-Asiatic, Chadic)",D2,place,Goal,zuwàa nan,africa
"Hausa (Afro-Asiatic, Chadic)",D3,place,Place,cân,africa
"Hausa (Afro-Asiatic, Chadic)",D3,place,Source,dàgà cân,africa
"Hausa (Afro-Asiatic, Chadic)",D3,place,Goal,cân,africa
"Hausa (Afro-Asiatic, Chadic)",D3,place,Goal,zuwàa cân,africa
"Hausa (Afro-Asiatic, Chadic)",D4,place,Place,can,africa
"Hausa (Afro-Asiatic, Chadic)",D4,place,Source,dàgà can,africa
"Hausa (Afro-Asiatic, Chadic)",D4,place,Goal,can,africa
"Hausa (Afro-Asiatic, Chadic)",D4,place,Goal,zuwàa can,africa
"Dii (Atlantic-Congo, Central Adamawa)",SI,SI,Place,téé,africa
"Dii (Atlantic-Congo, Central Adamawa)",SI,SI,Place,tɛ́lá,africa
"Dii (Atlantic-Congo, Central Adamawa)",SI,SI,Source,tɛ́lá,africa
"Dii (Atlantic-Congo, Central Adamawa)",SI,SI,Goal,tɛ́lá,africa
"Dii (Atlantic-Congo, Central Adamawa)",D1,place,Place,yɛlı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D1,place,Source,yɛlı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D1,place,Goal,yɛlı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D2,place,Place,wu̵lı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D2,place,Source,wu̵lı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D2,place,Goal,wu̵lı̵́,africa
"Dii (Atlantic-Congo, Central Adamawa)",D3,place,Place,zulí,africa
"Dii (Atlantic-Congo, Central Adamawa)",D3,place,Source,zulí,africa
"Dii (Atlantic-Congo, Central Adamawa)",D3,place,Goal,zulí,africa
Zialo (Mande),SI,SI,Place,mìnì,africa
Zialo (Mande),SI,SI,Source,mìnì,africa
Zialo (Mande),SI,SI,Goal,mìnì,africa
Zialo (Mande),D1,place,Place,vè,africa
Zialo (Mande),D1,place,Source,vè,africa
Zialo (Mande),D1,place,Goal,vè,africa
Zialo (Mande),D2,place,Place,náy,africa
Zialo (Mande),D2,place,Place,nɔ̀vè,africa
Zialo (Mande),D2,place,Source,náy,africa
Zialo (Mande),D2,place,Source,nɔ̀vè,africa
Zialo (Mande),D2,place,Goal,náy,africa
Zialo (Mande),D2,place,Goal,nɔ̀vè,africa
Zialo (Mande),D3,place,Place,mùnɔ̀,africa
Zialo (Mande),D3,place,Source,mùnɔ̀,africa
Zialo (Mande),D3,place,Goal,mùnɔ̀,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",SI,SI,Place,é̩ta,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",SI,SI,Source,é̩ta,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",SI,SI,Source,kàba é̩ta,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",SI,SI,Goal,é̩ta,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D1,place,Place,è̩ko̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D1,place,Source,è̩ko̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D1,place,Source,kàba è̩ko̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D1,place,Goal,è̩ko̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D2,place,Place,è̩fà ò̩né̩bé̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D2,place,Source,è̩fà ò̩né̩bé̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D2,place,Source,kàba è̩fà ò̩né̩bé̩,africa
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",D2,place,Goal,è̩fà ò̩né̩bé̩,africa
