phylum_family,sub_group,orig_language,language,gcode,system_type,complexity
OTO-MANGUEAN,zapotecan,AmatlaÂn Zapotec,Amatlán Zapotec,amat1238,-2 N + 2,5
AUSTRONESIAN,oceanic,AnejomÄ,Aneityum,anei1239,-3 N + 3,7
AUSTRONESIAN,oceanic,`Are`are,'Are'are,area1240,-2 N + 2,5
AUSTRONESIAN,oceanic,Arosi,Arosi,aros1241,-4 N +4,9
ANDEAN-EQUATORIAL,arawakan,AshaÂ ninca,Asháninka,asha1243,-2 N + 2,5
AUSTRONESIAN,formosan,Atayal,Atayal,atay1247,-2 N + 2,5
PAEZAN-BARBACOAN,NA,Cuaiquer~Awa Pit,Awa-Cuaiquer,awac1239,-1 N + 2,4
INDO-PACIFIC,NA,Ayiwo,Äiwoo,ayiw1239,-2 N + 2,5
ALTAIC,turkic,Azeri,Central Oghuz,azer1255,-3 N + 3,7
ISOLATE,NA,Basque,Basque,basq1248,-2 N + 3,6
ALTAIC,mongolean,Bonan,Bonan,bona1250,-2 N + 2,5
INDO-EUROPEAN,italic,Portuguese (Brasilian),Brazilian Portuguese,braz1246,-3 N + 2,6
INDO-EUROPEAN,slavic,Bulgarian,Bulgarian,bulg1262,-2 N + 2,5
ALTAIC,mongolean,Buriat,Buriat,buri1258,-2 N + 2,5
AZTEC-TANOAN,NA,Cahuilla,Cahuilla,cahu1264,-1 N + 1,3
GE-PANO-CARIB,NA,Capanahua,Capanahua,capa1241,-2 N + 2,5
AUSTRONESIAN,indonesian,Chamorro,Chamorro,cham1312,-2 N + 2,5
AUSTRONESIAN,oceanic,Cheke Holo~Maringe,Cheke Holo,chek1238,-3 N + 3,7
IROQUOIAN,NA,Cherokee,Cherokee,cher1273,-1 N + 1,3
MACRO-ALGONQUIAN,algonquian,Cheyenne,Cheyenne,chey1247,-1 N + 1,3
CHIBCHAN,NA,Chibcha~Muisca (Extinct),Chibcha,chib1270,-5 N +5,11
MACRO-ALGONQUIAN,muskogean,Chickasaw,Chickasaw,chic1270,-2 N + 2,5
