language,name,iso_639_3,genus,family,fusion,source,level,tense,remoteness,obligatoriness,gcode,extra_count,complexity
Abui [abz],Abui,abz,Greater Alor,Timor-Alor-Pantar,Isolating/Concatenative,"(Kratochvíl 2007: 209ff,350)",0,NA,NA,NA,abui1241,0,0
Achumawi [acv],Achumawi,acv,Palaihnihan,Hokan,Concatenative,"(Angulo & Freeland, 1930: 89ff, 111)",0,NA,NA,NA,achu1247,0,0
Ainu [ain],Ainu,ain,Ainu,Ainu,Concatenative,(Shibatani 1990: 80),0,NA,NA,NA,ainu1240,0,0
Apinajé (Apinayé) [apn],Apinajé (Apinayé),apn,Ge-Kaingang,Macro-Ge,Isolating,(Cunha de Oliveira 2005: 170f),0,NA,NA,NA,apin1244,0,0
Arandai [jbj],Arandai,jbj,South Bird’s Head,Marind,Isolating/Concatenative,(Voorhoeve 1985: 11),0,NA,NA,NA,aran1237,0,0
Arapesh (Bukiyip) [ape],Arapesh (Bukiyip),ape,Kombio-Arapesh,Torricelli,Concatenative*,(Fortune 1942: 67),0,NA,NA,NA,buki1249,0,0
Arikara [ari],Arikara,ari,Caddoan,Caddoan,Concatenative,(Merlan 1975: 14),0,NA,NA,NA,arik1262,0,0
Awetí [awe],Awetí,awe,Aweti,Tupian,Concatenative,(Borella 2000: passim),0,NA,NA,NA,awet1244,0,0
Bagirmi [bmi],Bagirmi,bmi,Bongo-Bagirmi,Central Sudanic,Concatenative*,(Stevenson 1969: 83),0,NA,NA,NA,bagi1246,0,0
"Bai, Central [bca]","Bai, Central",bca,Bai,Sino-Tibetan,Isolating,(Wiersma 1990: 175ff),0,NA,NA,NA,cent2004,0,0
"Bajau, West Coast [bdr]","Bajau, West Coast",bdr,Sama-Bajaw,Austronesian,Isolating,(Miller 2007: 329ff),0,NA,NA,NA,west2560,0,0
Batak Toba [bbc],Batak Toba,bbc,Northwest Sumatra-Barrier Islands,Austronesian,Concatenative,(Nababan 1966: 29),0,NA,NA,NA,bata1289,0,0
Begak (Ida’an) [dbj],Begak (Ida’an),dbj,North Borneo,Austronesian,Isolating/Concatenative,"(Goudswaard 2005: 151ff, passim)",0,NA,NA,NA,idaa1241,0,0
Berta [wti],Berta,wti,Berta,Berta,Concatenative,(Cerulli 1947: 350),0,NA,NA,NA,bert1248,0,0
Biak [bhw],Biak,bhw,South Halmahera-West New,Austronesian,Isolating,"(van den Heuvel 2006: 120, passim)",0,NA,NA,NA,biak1248,0,0
Burmese [mya],Burmese,mya,Burmese-Lolo,Sino-Tibetan,Concatenative*,(Comrie 1985: 50f),0,NA,NA,NA,nucl1310,0,0
"Cambodian (Khmer, Central) [khm]","Cambodian (Khmer, Central)",khm,Khmer,Austro-Asiatic,Isolating,(Huffman 1970: passim),0,NA,NA,NA,cent1989,0,0
Chitimacha [ctm],Chitimacha,ctm,Chitimacha,Chitimacha,Concatenative,"(Swadesh 1946: 317, 322ff)",0,NA,NA,NA,chit1248,0,0
Comanche [com],Comanche,com,Numic,Uto-Aztecan,Concatenative,(Charney 1989: passim),0,NA,NA,NA,coma1245,0,0
Coos [csz],Coos,csz,Coosan,Oregon Coast,Concatenative*,"(Frachtenberg 1922a: 328ff, 343ff)",0,NA,NA,NA,coos1249,0,0
"Diegueño, Jamul (Kumiai) [dih]","Diegueño, Jamul (Kumiai)",dih,Yuman,Hokan,Concatenative,"(Miller 1990: 119ff, passim)",0,NA,NA,NA,kumi1248,0,0
"Dogon, Jamsay [djm]","Dogon, Jamsay",djm,Dogon,Dogon,Concatenative,(Heath 2005a: passim),0,NA,NA,NA,jams1239,0,0
Fuyug [fuy],Fuyug,fuy,Goilalan,Trans-New Guinea,Concatenative,(Bradshaw 2007: 66ff),0,NA,NA,NA,fuyu1242,0,0
Gade [ged],Gade,ged,Nupoid,Niger-Congo,Non-linear,(Sterk 1977: 164ff),0,NA,NA,NA,gade1242,0,0
Golin [gvf],Golin,gvf,Chimbu,Trans-New Guinea,Concatenative,"(Evans et al. 2005: 38f, 45ff, passim)",0,NA,NA,NA,goli1247,0,0
Guató [gta],Guató,gta,Guató,Macro-Ge,Concatenative,(Pimentel Palácio 1984: 60ff),0,NA,NA,NA,guat1253,0,0
Gude [gde],Gude,gde,Biu-Mandara,Afro-Asiatic,Isolating,(Hoskison 1983: 82),0,NA,NA,NA,gude1246,0,0
Hausa [hau],Hausa,hau,West Chadic,Afro-Asiatic,Isolating*,(Newman 2000: 564ff),0,NA,NA,NA,haus1257,0,0
I’saka (Isaka) [ksi],I’saka (Isaka),ksi,Krisa,Skou,Isolating,(Donohue & San Roque 2002: passim),0,NA,NA,NA,kris1246,0,0
Ika (Arhuaco ) [arh],Ika (Arhuaco ),arh,Aruak,Chibchan,Concatenative,(Frank 1985: 76ff),0,NA,NA,NA,arhu1242,0,0
Jinghpo (Jingpho) [kac],Jinghpo (Jingpho),kac,Jinghpo,Sino-Tibetan,Isolating,(Qingxia & Diehl 2003: 406ff),0,NA,NA,NA,kach1280,0,0
Ju|’hoan [ktz],Ju|’hoan,ktz,Ju-Kung,Kxa,Isolating,(Dickens n.y.: 5),0,NA,NA,NA,juho1239,0,0
Kamasau [kms],Kamasau,kms,Marienberg,Torricelli,Isolating,"(Watters 1998: 191ff, 547)",0,NA,NA,NA,kama1367,0,0
Kambera [xbr],Kambera,xbr,Central Malayo-Polynesian,Austronesian,Concatenative,(Klamer 1998: 317),0,NA,NA,NA,kamb1299,0,0
"Kham (Kham, Western Parbate) [kjl]","Kham (Kham, Western Parbate)",kjl,Mahakiranti,Sino-Tibetan,Concatenative,"(Watters 1998: 191ff, 547)",0,NA,NA,NA,west2420,0,0
Khmu’ (Khmu) [kjg],Khmu’ (Khmu),kjg,Palaung-Khmuic,Austro-Asiatic,Isolating,(Svantesson 1994: 266ff),0,NA,NA,NA,khmu1256,0,0
Klamath (Klamath-Modoc) [kla],Klamath (Klamath-Modoc),kla,Klamath-Modoc,Penutian,Concatenative,(Underriner 2002: 13ff),0,NA,NA,NA,klam1254,0,0
"Krumen, Tepo [ted]","Krumen, Tepo",ted,Kru,Niger-Congo,Non-linear,(Thalmann 1987: 390ff),0,NA,NA,NA,tepo1239,0,0
Kwomtari [kwo],Kwomtari,kwo,Kwomtari,Kwomtari-Baibai,Concatenative,"(Honsberger et al. 2008: 14, 117f)",0,NA,NA,NA,nucl1593,0,0
Lakhota (Lakota) [lkt],Lakhota (Lakota),lkt,Siouan,Siouan,Isolating/Concatenative*,(van Valin 1977: 4ff),0,NA,NA,NA,lako1247,0,0
Lango [laj],Lango,laj,Nilotic,Eastern Sudanic,Non-linear*,(Noonan 1992: 136ff),0,NA,NA,NA,lang1324,0,0
"Mandarin (Chinese, Mandarin) [cmn]","Mandarin (Chinese, Mandarin)",cmn,Chinese,Sino-Tibetan,Isolating/Concatenative*,(Li & Thompson 1981),0,NA,NA,NA,mand1415,0,0
Mapudungun [arn],Mapudungun,arn,Araucanian,Araucanian,Concatenative*,"(Smeets 1989: 203ff, 306)",0,NA,NA,NA,mapu1245,0,0
Maxakalí [mbl],Maxakalí,mbl,Maxakali,Macro-Ge,Isolating,(Pereira 1992: 70ff),0,NA,NA,NA,maxa1247,0,0
Maybrat (Mai Brat) [ayz],Maybrat (Mai Brat),ayz,North-Central Bird’s Head,West Papuan,Concatenative*,(Dol 1999: passim),0,NA,NA,NA,maib1239,0,0
Meithei (Meitei) [mni],Meithei (Meitei),mni,Kuki-Chin,Sino-Tibetan,Concatenative*,(Chelliah 1997),0,NA,NA,NA,mani1292,0,0
"Mixtec, Chalcatongo (Mixtec, San Miguel el Grande) [mig]","Mixtec, Chalcatongo (Mixtec, San Miguel el Grande)",mig,Mixtecan,Oto-Manguean,Concatenative,"(Macaulay 1996: 45ff, 79ff)",0,NA,NA,NA,sanm1295,0,0
Mocoví [moc],Mocoví,moc,South Guaicuruan,Guaicuruan,Concatenative,(Grondona 1998: 129),0,NA,NA,NA,moco1246,0,0
Mon [mnw],Mon,mnw,Monic,Austro-Asiatic,Isolating,(Albaugh 2001),0,NA,NA,NA,monn1252,0,0
Moskona [mtj],Moskona,mtj,East Bird’s Head,East Bird’s Head,Isolating/Concatenative,(Gravelle 2010: passim),0,NA,NA,NA,mosk1236,0,0
Movima [mzp],Movima,mzp,Movima,Movima,Concatenative,"(Haude 2006: 13, 147ff, 158ff, 167ff, 510ff)",0,NA,NA,NA,movi1243,0,0
Mualang [mtd],Mualang,mtd,Malayo-Sumbawan,Austronesian,Isolating,(Tjia 2007: 193),0,NA,NA,NA,mual1241,0,0
Mundurukú [myu],Mundurukú,myu,Munduruku,Tupian,Isolating,"(Crofts 2004: 58, 294)",0,NA,NA,NA,mund1330,0,0
Murle [mur],Murle,mur,Surmic,Nilo-Saharan,Concatenative,(Arensen 1982: 59ff),0,NA,NA,NA,murl1244,0,0
"Nicobarese, Car [caq]","Nicobarese, Car",caq,Nicobarese,Austro-Asiatic,Concatenative,(Braine 1970: passim),0,NA,NA,NA,carn1240,0,0
Olo [ong],Olo,ong,Wapei-Palei,Torricelli,Isolating,(Staley 2007: 29),0,NA,NA,NA,oloo1241,0,0
Pacoh [pac],Pacoh,pac,Katuic,Austro-Asiatic,Isolating,"(Alves 2000: 305ff, passim)",0,NA,NA,NA,paco1243,0,0
"Pame, Northern [pmq]","Pame, Northern",pmq,Pamean,Oto-Manguean,Concatenative,(Berthiaume 2003: 197ff),0,NA,NA,NA,nort2984,0,0
Pirahã [myp],Pirahã,myp,Mura,Mura,Concatenative*,(Everett 2005: 631),0,NA,NA,NA,pira1253,0,0
"Qiang (Qiang, Northern) [cng]","Qiang (Qiang, Northern)",cng,Qiangic,Sino-Tibetan,Concatenative,(LaPolla & Huang,0,NA,NA,NA,nort2722,0,0
Rao [rao],Rao,rao,Annaberg,Lower Sepik-Ramu,Isolating,(Stanhope 1980: 10),0,NA,NA,NA,raoo1244,0,0
Salinan [sln],Salinan,sln,Salinan,Salinan,Isolating,(Turner 1987: 155ff),0,NA,NA,NA,sali1253,0,0
Sandawe [sad],Sandawe,sad,Sandawe,Khoisan,Concatenative,(Eaton 2010: 132ff),0,NA,NA,NA,sand1273,0,0
Seediq (Taroko) [trv],Seediq (Taroko),trv,Atayalic,Austronesian,Isolating/Concatenative,(Tsukida 2000: 30),0,NA,NA,NA,taro1264,0,0
Semelai [sza],Semelai,sza,Aslian,Austro-Asiatic,Concatenative,(Kruspe 2004: passim),0,NA,NA,NA,seme1247,0,0
Shiriana (Ninam) [shb],Shiriana (Ninam),shb,Yanomam,Yanomam,Concatenative,(Gomez 1990: 93),0,NA,NA,NA,nina1238,0,0
